Developer,Product,Product Type,Components,Features,Codified Design Checks Certified By Qualified Engineer,ISO 9001 Compliant,Link to Guidance,Concrete,Masonry,Steel,Timber,Polymers,Composites,Eurocodes,UK National Annex,Other National Annexes,British Standards,Other Codes,Level of Structural Checks,Python,C#,Grasshopper,Other,Operating System,Processors,Memory (RAM),Storage Requirements,Internet Access Required,Link to Full Specs,Pricing Structure,Secondary Software Requirements
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Concrete Beam Designer,Stand Alone,Design,Concrete Beams,No,No,https://www.masterseries.com/products/powerpad,Yes,No,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Composite Beam Design,Stand Alone,Design,Composite Beams,No,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,No,No,Yes,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Timber Beam Designer,Stand Alone,Design,Timber Beams,No,No,https://www.masterseries.com/products/powerpad,No,No,No,Yes,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Pile Cap Desginer,Stand Alone,Design,Pile Caps,No,No,https://www.masterseries.com/products/powerpad,Yes,No,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterPort Plus,Stand Alone,Analysis/#Design,2D Analysis/#3D Analysis,No,No,https://www.masterseries.com/products/masterport-plus,Yes,No,Yes,No,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterKey: Connections Design,Stand Alone,Design,[Design of Connections {Including:/#Baseplates/#Steel to Steel Connections}],No,No,https://www.masterseries.com/products/moment-simple-connections,Yes,No,Yes,No,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterKey: Masonry Design,Stand Alone,Design,Masonry Walls,No,No,https://www.masterseries.com/products/masonry-design,No,Yes,No,No,No,No,Yes,Yes,Ireland/#Belgium/#Netherlands/#Germany/#France/#Italy/#Spain/#Sweden/#Denmark/#User Defined,Yes,[Ireland {IS}],Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterKey: Retaining Walls Design,Stand Alone,Design,Concrete Retaining Walls/#Masonry Retaining Walls,No,No,https://www.masterseries.com/products/retaining-walls,Yes,Yes,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterBeam: Composite Beam Design,Stand Alone,Design,Composite Beams,No,No,https://www.masterseries.com/products/composite-design,Yes,No,Yes,No,No,Yes,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,MasterKey: Pile Cap Design,Stand Alone,Design,Pile Caps,No,No,https://www.masterseries.com/products/pile-cap,Yes,No,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
SkyCiv,Structural 3D,Web App,Analysis/#Design,[Analysis {Including:/#3D Analysis/#Finite Element Analysis/#Global Buckling Analysis/#Non-linear Analysis/#Response Spectrum Analysis/#Vibration Design & Analysis}]/#[Design of Concrete Elements {Including:/#Concrete Beams/#Concrete Columns/#Concrete Flat Slabs (1 Way)/#Concrete Flat Slabs (2 Way)}]/#[Design of Steel Elements {including:/#Steel Beams/#Steel Columns}]/#Export & Import Tools/#DXF Export/#Export Material Quantities/#IFC Export}]/#Detailed Plan / Section Drawings,Yes,No,https://skyciv.com/docs/structural-3d/,Yes,Yes,Yes,Yes,[Yes {Analysis Only}],[Yes {Analysis Only}],Yes,No,None,No,-,Partial,Yes,Yes,Yes,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Beam,Web App,Analysis/#Design,2D Analysis/#Composite Beam Analysis/#Concrete Beams/#Steel Beams/#Timber Beams,Yes,No,https://skyciv.com/docs/skyciv-beam/,Yes,No,Yes,Yes,No,No,Yes,No,None,No,"[Australia {AS}]/#[United States {AISC, ACI}]/#[Canada {CSA}]/#[India {IS}]",Partial,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Section Builder,Web App,Analysis,Section Analysis/#Composite Section Analysis,-,No,https://skyciv.com/docs/skyciv-section-builder/,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Load Generator,Web App,Analysis/#Design,Wind Loads/#Seismic Loads/#Snow Loads,Yes,No,https://skyciv.com/docs/load-generator/getting-started/,-,-,-,-,-,-,Yes,Yes,Germany/#Spain/#Belgium/#Netherlands/#Sweden/#Romania,No,[Australia {AS}]/#[United States {ASCE}]/#[Canada {NBCC}]/#[New Zealand {NZS}],Partial,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Retaining Wall,Web App,Analysis/#Design,Concrete Retaining Walls,Yes,No,https://skyciv.com/docs/skyciv-retaining-wall/getting-started/,Yes,No,No,No,No,No,Yes,No,None,No,[Australia {AS}]/#[United States {ACI}],Partial,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Foundation Design,Web App,Analysis/#Design,Finite Element Analysis/#Geotechnical Analysis/#Footings/#Piles,Yes,No,https://skyciv.com/docs/skyciv-foundation/introduction-to-skyciv-foundation/,Yes,No,No,No,No,No,Yes,No,None,No,[Australia {AS}]/#[United States {ACI}]/#[Canada {CSA}],Partial,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
SkyCiv,Beam Shell FEA,Web App,Analysis,3D Analysis/#Finite Element Analysis/#Non-linear Analysis,-,No,https://skyciv.com/docs/beam-shell-fea/,No,No,Yes,No,No,No,-,-,-,-,-,-,Yes,Yes,No,[REST API {Including:/#Java/#PHP/#and many more.}]/#JavaScript / Web API,Any,Any,4 GB,-,Yes,-,Subscription,-
Oasys,Oasys ADC,Stand Alone,Design,[Design of Concrete Elements {Including:/#Concrete Beams/#Concrete Columns/#Concrete Flat Slabs (1 Way)/#Concrete Ribbed Slabs}]/#[Design of Foundations {Including:/#Piles/#Pile Caps}],Yes,Yes,https://www.oasys-software.com/support/adc/,Yes,No,No,No,No,No,Yes,Yes,Denmark/#France/#Italy/#Netherlands,Yes,"[Australia {AS}]/#[Hong Kong {HKCP}]/#[United States {ACI, IBS, IBC}]/#[India {IS}]",Full,Yes,Yes,Yes,C++/#VBScript/#Java/#VBA Macros/#MathCAD,Windows 10/#Windows 11,-,1 GB,30 MB,Yes,https://docs.oasys-software.com/structural/adsec/,Subscription,-
Oasys,Oasys GSA,Stand Alone,Analysis/#Design,Finite Element Analysis/#Design of Concrete Elements/#Design of Steel Elements,Yes,Yes,https://docs.oasys-software.com/structural/gsa/,Yes,No,Yes,Yes,No,[Yes {Codified composite design is not covered in older versions.}] ,Yes,Yes,Ireland/#Netherlands/#France/#Singapore/#Cyprus/#Germany/#Denmark/#Norway/#Poland/#Finland/#Spain/#Italy,Yes,"[United States {AISC, AASHTO, ACI, IBS, IBC, ANSI}]/#[Australia {AS}]/#[Canada {CSA}]/#[Hong Kong {HKCP, HKSDM}]/#[India {IS}]/#[South Africa {SANS}]",Full,Yes,Yes,Yes,C++/#VBScript/#Java/#VBA Macros/#MathCAD,Windows 10/#Windows 11,-,2 GB,600 MB,Yes ,https://docs.oasys-software.com/structural/gsa/references/computer-min-spec/,Subscription,-
Oasys,Oasys Compos,Stand Alone,Analysis/#Design,Composite Beam Analysis/#Composite Beams,Yes,Yes,https://www.oasys-software.com/support/compos/documentation/,No,No,Yes,No,No,Yes,Yes,Yes,None,Yes,[Australia {AS}]/#[New Zealand {NZ}]/#[Hong Kong {HKSUOS}],Full,Yes,Yes,Yes,C++/#VBScript/#Java/#VBA Macros/#MathCAD,Windows 10/#Windows 11,-,1 GB,125 MB,Yes ,https://docs.oasys-software.com/structural/adsec/,Subscription,-
Oasys,Oasys AdSec,Stand Alone,Design,Section Analysis/#Composite Section Analysis,Yes,Yes,https://docs.oasys-software.com/structural/adsec/,Yes,No,No,No,Yes,Yes,Yes,Yes,Ireland/#Netherlands/#France/#Singapore/#Cyprus/#Germany/#Denmark/#Norway/#Poland/#Finland/#Spain/#Italy,Yes,"[Australia {AS}]/#[Canada {CSA}]/#[Hong Kong {HKCP}]/#[India {IS}]/#[Hong Kong {HKSDM}]/#[United States {ACI, IBS, IBC, AASHTO}]","[Partial  {Axial, major and minor bending checks covered}]",Yes,Yes,Yes,C++/#VBScript/#Java/#VBA Macros/#MathCAD,Windows 10/#Windows 11,-,1 GB,350 MB,Yes ,https://docs.oasys-software.com/structural/adsec/,Subscription,-
BHoM,BHoM,Plug In,Parametric/#Carbon,Parametric Modelling/#Embodied Carbon Assessment,-,No,https://bhom.xyz/,Yes,No,Yes,Yes,No,Yes,-,-,-,-,-,-,[No {Some parts of the BHoM are written in Python}],Yes,Yes,Robot/#GSA/#ETABS/#Lusas/#RFEM/#SAP2000,Windows 10/#Windows 11,-,-,-,[Yes {Limited functionality without internet connection}],https://github.com/BHoM,Free,Rhino & Grasshopper/#Excel 2016+/#Revit & Dynamo
Building Transparency,EC3 Tool,Web App,Carbon,Embodied Carbon Assessment,-,No,https://www.buildingtransparency.org/tools/ec3/,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Any,-,-,-,Yes,https://www.buildingtransparency.org/tools/ec3/,Free,Internet Browswer
CLT Toolbox,CLT Toolbox,Web App,Design,[Design of Timber Elements {Including:/#Timber Joist Floors/#Timber Beams/#Timber Columns/#Timber Joist Walls/#Timber Panel Walls}]/#Design for Fire,No,No,https://clttoolbox.com/engineer/,No,No,No,Yes,No,No,Yes,No,None,No,[Australia {AS}],Partial,No,No,No,-,Any,-,-,-,Yes,https://clttoolbox.com/features/,Subscription,Internet Browser
Elliott Wood/#IStructE,The Structural Carbon Tool,Spreadsheet,Carbon,Embodied Carbon Assessment,-,Yes,https://www.istructe.org/resources/guidance/the-structural-carbon-tool/,Yes,Yes,Yes,Yes,No,Yes,-,-,-,-,-,-,-,-,-,VBA Macros,Any,-,-,-,No,https://www.istructe.org/resources/guidance/the-structural-carbon-tool/,Free,Excel 2016 +
Foundaxis LLC,Foundaxis,Web App,Analysis/#Design,Geotechnical Analysis/#[Design of Foundations {Including:/#Footings/#Mat Foundations}],Yes,No,https://docs.foundaxis.com/home/,Yes,No,No,No,No,No,Yes,No,None,No,[United States {ACI}],Full,No,No,No,SAP2000/#ETABS/#Excel,Any,-,-,-,Yes,https://foundaxis.com/features/,Subscription,Internet Browser
Hawkins\Brown,H\BERT,Plug In,Carbon,Embodied Carbon Assessment,-,No,https://www.hawkinsbrown.com/sub-services/hbert-emissions-reduction-tool/,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,-,-,-,No,https://www.hawkinsbrown.com/sub-services/hbert-emissions-reduction-tool/,Free,Revit 2018+
Karamba 3D,Karamba3D,Plug In,Analysis/#Parametric,Parametric Modeling/#Finite Element Analysis,-,No,https://manual.karamba3d.com/,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,No,No,Yes,-,Any,-,-,-,Yes,https://karamba3d.com/resources/,Subscription,Rhino & Grasshopper
KieranTimberlake/#Building Transparency,tallyLCA,Plug In,Carbon,Embodied Carbon Assessment,-,No,https://kierantimberlake.com/page/tally,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,-,-,-,No,https://kierantimberlake.com/page/tally,Subscription,Revit 2018+
One Click LCA,One Click LCA Planetary,Web App,Carbon,Embodied Carbon Assessment,-,Yes,https://oneclicklca.com/resources/planetary,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Any,-,-,-,Yes,https://oneclicklca.com/resources/planetary,Free,Internet Browser
One Click LCA,One Click LCA,Web App,Carbon,Embodied Carbon Assessment,-,No,https://oneclicklca.com/en/pricing/full-feature-list,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Any,-,-,-,Yes,https://oneclicklca.com/en/pricing/full-feature-list,Subscription,Internet Browser
Structx,structx.com,Spreadsheet,Analysis,2D Analysis/#Section Analysis/#Static Analysis/#Portal Frames,-,No,https://www.structx.com/downloads.html,-,-,-,-,-,-,-,-,-,-,-,-,No,No,No,VBA Macros,Any,-,-,-,No,https://www.structx.com/downloads.html,Paid,Excel 2013 +
Structx,structx.com,Web App,Analysis,2D Analysis/#Section Analysis/#Static Analysis/#Portal Frames,-,No,https://www.structx.com/handy_calculators.html,-,-,-,-,-,-,-,-,-,-,-,-,No,No,No,-,Any,-,-,-,Yes,https://www.structx.com/handy_calculators.html,Free,Internet Browswer
The Concrete Centre,Concrete Centre Spreadsheets,Spreadsheet,Design,[Design of Concrete Elements {Including:/#Concrete Retaining Walls/#Concrete Beams/#Concrete Columns/#Concrete Cracking/#Concrete Walls/#Concrete Flat Slabs (1 Way)/#Concrete Flat Slabs (2 Way)/#Concrete Core / Shear Walls/#Concrete Ribbed Slabs}]/#[Design of Foundations {Including:/#Mat Foundations/#Pile Caps}],Yes,No,https://www.concretecentre.com/rcdesign,Yes,No,No,No,No,No,Yes,Yes,None,Yes,None,Full,No,No,No,VBA Macros,Any,-,-,2 GB,No,https://www.concretecentre.com/rcdesign,Subscription,Excel 2012+
Thornton Tomasetti,Beacon,Plug In,Carbon,Embodied Carbon Assessment,-,Yes,https://www.thorntontomasetti.com/capability/beacon,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,-,-,-,No,https://www.thorntontomasetti.com/capability/beacon,Free,Revit 2018+
Whitby Wood,ACE Column Designer,Stand Alone,Design/#Carbon,Concrete Columns/#Design for Fire,No,No,https://www.whitbywood.com/apps/ace-column-designer/,Yes,No,No,No,No,No,Yes,No,None,No,None,Full,No,No,No,ETABS,Windows 10,Intel i3 +,4 GB,14 MB,No,https://www.whitbywood.com/apps/ace-column-designer/,Free,-
